date, pm25, pm10, o3, no2, so2, co
2022/2/6, 21, 30, 19, 4, 1, 
2022/2/7, 27, 44, 14, 6, 1, 
2022/2/8, 41, 34, 13, 4, 1, 
2022/2/9, 26, 47, 18, 8, 5, 
2022/2/10, 43, 54, 14, 5, 1, 
2022/2/11, 63, 45, 17, 3, 1, 
2022/2/12, 46, 47, 26, 4, 1, 
2022/2/13, 63, 42, 15, 1, 1, 
2022/2/14, 55, 30, 15, 2, 1, 
2022/2/15, 39, 62, 11, 2, 1, 
2022/2/16, 31, 40, 13, 4, 1, 
2022/2/17, 40, 61, 22, 7, 3, 
2022/2/18, 93, 46, 18, 6, 1, 
2022/2/19, 55, 37, 9, 4, 1, 
2022/2/20, 63, 17, 10, 4, 2, 
2022/2/21, 10, 30, 16, 4, 1, 
2022/2/22, 34, 27, 12, 2, 1, 
2022/2/23, 24, 21, 9, 3, 1, 
2022/2/24, 26, 16, 9, 1, 1, 
2022/2/25, 18, 18, 11, 4, 1, 
2022/2/26, 22, 14, 9, 1, 1, 
2022/2/27, 13, 14, 10, 1, 1, 
2022/2/28, 8, 27, 12, 3, 1, 
2022/3/1, 15, 27, 18, 4, 4, 
2022/3/2, 21, 33, 10, 4, 1, 
2022/3/3, 44, 25, 8, 4, 1, 
2022/3/4, 22, 26, 11, 5, 2, 
2022/3/5, 15, 24, 11, 2, 1, 
2022/3/6, 30, 11, 8, 3, 1, 
2022/3/7, 10, 12, 9, 3, 1, 
2022/3/8, 33, 8, 8, 3, 1, 
2022/3/10, 8, 32, 13, 5, 1, 
2022/3/11, 15, 26, 16, 6, 6, 
2022/3/12, 17, 32, 17, 5, 1, 
2022/3/13, 49, 30, 19, 7, 1, 
2022/3/14, 45, 39, 18, 9, 1, 
2022/3/15, 34, 42, 17, 8, 1, 
2022/3/16, 64, 33, 14, 7, 1, 
2022/3/17, 65, 28, 11, 5, 1, 
2022/3/18, 28, 28, 13, 5, 1, 
2022/3/19, 26, 40, 16, 6, 1, 
2022/3/20, 56, 19, 8, 5, 1, 
2022/3/21, 20, 15, 8, 3, 1, 
2022/3/22, 11, 27, 9, 4, 1, 
2022/3/23, 23, 62, 24, 4, 1, 
2022/3/24, 18, 37, 14, 3, , 
2022/3/25, 30, 29, 14, 6, , 
2022/3/26, 25, 18, 9, 5, , 
2022/3/27, 39, 15, 10, 4, , 
2022/3/28, 20, 22, 11, 5, , 
2022/3/29, 53, 21, 12, 3, , 
2022/3/30, 25, 26, 13, 3, , 
2022/3/31, 21, 37, 20, 6, 3, 
2022/4/1, 46, 35, 12, 6, , 
2021/10/2, 48, 18, 12, 4, , 
2021/10/3, 40, 21, , 4, , 
2021/10/4, 52, 23, , 5, , 
2021/10/5, 47, 24, , 5, , 
2021/10/6, 38, 26, , 5, 1, 
2021/10/7, 31, 29, , 3, , 
2021/10/8, 41, 26, , 4, 1, 
2021/10/9, 28, 31, , 7, , 
2021/10/10, 55, 28, , 3, , 
2021/10/11, 49, 27, , 3, 1, 
2021/10/12, 46, 21, , 3, , 
2021/10/13, 30, 16, , 3, , 
2021/10/14, 26, 16, , 3, 1, 
2021/10/15, 36, 21, , 5, , 
2021/10/16, 44, 22, , 5, , 
2021/10/17, 54, 21, , 4, 1, 
2021/10/18, 49, 23, , 5, 1, 
2021/10/19, 27, 25, , 5, 1, 
2021/10/20, 36, 13, , 3, , 
2021/10/21, 24, 18, , 5, 1, 
2021/10/22, 34, 18, , 4, , 
2021/10/23, 22, 20, , 3, , 
2021/10/24, 29, 18, , 3, , 
2021/10/25, 33, 23, , 3, , 
2021/10/26, 28, 27, , 4, , 
2021/10/27, 17, 25, , 5, , 
2021/10/28, 26, 27, , 4, 1, 
2021/10/29, 26, 31, 8, 4, , 
2021/10/30, 33, 31, 13, 4, 1, 
2021/10/31, 30, 36, 12, 5, , 1
2021/11/1, 46, 27, 12, 2, , 1
2021/11/2, 38, 25, 14, 3, 1, 1
2021/11/3, 23, 11, 22, 1, 1, 3
2021/11/4, 13, 18, 11, 3, 1, 1
2021/11/5, 22, 17, 13, 4, 1, 1
2021/11/6, 24, 25, 10, 4, , 
2021/11/7, 34, 19, 12, 4, , 
2021/11/8, 28, 21, 11, 6, 1, 
2021/11/9, 20, 24, 11, 5, , 
2021/11/10, 32, 19, 13, 3, , 
2021/11/11, 23, 22, 11, 4, 1, 
2021/11/12, 25, 14, 11, 1, 1, 
2021/11/13, 16, 13, 11, 2, 1, 
2021/11/14, 10, 13, 11, 2, 1, 
2021/11/15, 24, 13, 12, 1, 1, 
2021/11/16, 15, 23, 16, 2, , 
2021/11/17, 23, 37, 14, 11, 1, 
2021/11/18, 29, 22, 13, 1, , 
2021/11/19, 20, 36, 15, 3, 1, 
2021/11/20, 33, 33, 15, 2, 1, 
2021/11/21, 43, 26, 14, 2, 1, 
2021/11/22, 31, 25, 15, , 1, 
2021/11/23, 15, 29, 18, 1, 1, 
2021/11/24, 28, 19, 11, 1, 1, 
