date, pm25, pm10, o3, no2, so2, co
2023/7/23, 19, 17, 15, 2, 4, 
2023/7/24, 27, 21, 15, 5, 4, 1
2023/7/25, 42, 15, 17, 4, 4, 1
2023/7/26, 40, 22, 12, 5, 3, 
2023/7/27, 40, 26, 12, 6, 4, 3
2023/7/28, 50, 31, 10, 9, 5, 2
2023/7/29, 60, 35, 15, 8, 5, 1
2023/7/30, 60, 21, 18, 5, 4, 1
2023/7/31, 69, 16, 17, 3, 3, 
2023/8/1, 53, 28, 12, 5, 3, 
2023/8/2, 53, 37, 16, 7, 6, 
2023/8/3, 64, 28, 15, 8, 6, 
2023/8/4, 48, 24, 24, 7, 5, 1
2023/8/5, 59, 16, 18, 2, 4, 1
2023/8/6, 44, 9, 20, 2, 4, 
2023/8/7, 32, 19, 11, 5, 6, 1
2023/8/8, 43, 27, 13, 6, 4, 1
2023/8/9, 60, 23, 21, 4, 4, 1
2023/8/10, 61, 8, 19, 1, 4, 
2023/8/11, 31, 22, 18, 2, 3, 
2023/8/12, 39, 37, 17, 5, 4, 
2023/8/13, 44, 35, 21, 5, 4, 1
2023/8/14, 59, 19, 21, 3, 3, 1
2023/8/15, 50, 11, 19, 1, 3, 
2023/8/16, 29, 11, 19, 1, 3, 
2023/8/17, 23, 12, 18, 2, 3, 
2023/8/18, 30, 16, 14, 3, 4, 
2023/8/19, 30, 12, 13, 3, 3, 
2023/8/20, 27, 10, 10, 2, 4, 
2023/8/21, 25, 8, 16, 1, 3, 
2023/8/22, 11, 11, 22, , 3, 
2023/8/23, 20, 4, 19, 1, 3, 
2023/8/24, 11, 9, 18, 1, 3, 1
2023/8/25, 23, 16, 18, 1, 3, 1
2023/8/26, 25, 21, 18, 3, 5, 1
2023/8/27, 34, 23, 20, 4, 4, 1
2023/8/28, 46, 22, 18, 5, 4, 1
2023/8/29, 51, 26, 19, 2, 4, 1
2023/8/30, 40, 28, 18, 2, 4, 1
2023/8/31, 56, 35, 18, 4, 4, 1
2023/9/1, 48, 47, 11, 5, 4, 2
2023/9/2, 62, 28, 17, 3, 4, 1
2023/9/3, 55, 13, 15, 3, 5, 1
2023/9/4, 24, 15, 15, 4, 4, 1
2023/9/5, 32, 15, 12, 5, 4, 2
2023/9/6, 30, 10, 13, 4, 3, 1
2023/9/7, 26, 14, 16, 2, 3, 1
2023/9/8, 24, 28, 16, 3, 4, 1
2023/9/9, 40, 20, 14, 4, 4, 2
2023/9/10, 39, 18, 24, 4, 4, 1
2023/9/11, 27, 17, 21, 1, 4, 2
2023/9/12, 30, 19, 19, 1, 4, 2
2023/9/13, 31, 22, 17, 3, 4, 2
2023/9/14, 35, 28, 19, 3, 4, 2
2023/9/15, 42, 29, 14, 3, 4, 2
2023/9/16, 42, 12, 11, 3, 4, 2
2023/9/17, 31, 16, 20, 1, 4, 2
2023/9/18, 24, 29, 15, 3, 3, 3
2023/9/19, 47, 40, 19, 5, 4, 3
2023/9/20, 63, 21, 20, 1, 3, 1
2023/9/21, 41, 14, 15, 3, 5, 1
2023/9/22, 30, 16, 15, 2, 4, 
2023/9/23, 24, 21, 19, 2, 4, 1
2023/9/24, 38, 18, 19, 1, 4, 1
2023/9/25, 30, 14, 19, 2, 4, 1
2023/9/26, 30, 34, 19, 1, 4, 1
2023/9/27, 33, 28, 21, 1, 4, 1
2023/9/28, 40, 26, 20, 2, 4, 1
2023/9/29, 38, 30, 20, 2, 4, 1
2023/9/30, 43, 22, 21, 1, 4, 1
2023/10/1, 39, 18, 23, 1, 4, 1
2023/4/2, 59, 39, 15, 8, 24, 1
2023/4/3, 85, 43, 17, 5, 14, 1
2023/4/4, 73, 39, 15, 5, 14, 1
2023/4/5, 81, 32, 14, 7, 12, 1
2023/4/6, 75, 36, 11, 7, 18, 1
2023/4/7, 83, 27, 17, 6, 18, 1
2023/4/8, 94, 35, 16, 7, 12, 1
2023/4/9, 64, 27, 15, 8, 11, 1
2023/4/10, 51, 32, 16, 6, 17, 1
2023/4/11, 82, 23, 6, 9, 30, 1
2023/4/12, 98, 11, 10, 7, 14, 
2023/4/13, 37, 15, 11, 4, 7, 
2023/4/14, 32, 19, 14, 4, 10, 
2023/4/15, 46, 27, 18, 3, 10, 
2023/4/16, 49, 24, 18, 3, 4, 
2023/4/17, 39, 35, 17, 4, 8, 
2023/4/18, 49, 44, 18, 5, 8, 
2023/4/19, 54, 56, 17, 7, 21, 
2023/4/20, 78, 27, 16, 2, 4, 
2023/4/21, 40, 18, 16, 2, 10, 
2023/4/22, 39, 22, 11, 4, 14, 
2023/4/23, 47, 15, 14, 3, 7, 1
2023/4/24, 42, 16, 15, 5, 8, 1
2023/4/25, 43, 21, 19, 7, 10, 1
2023/4/26, 52, 33, 24, 5, 7, 1
2023/4/27, 68, 59, 24, 3, 5, 1
2023/4/28, 59, 17, 20, 1, 4, 1
2023/4/29, 34, 10, 15, 1, 4, 1
2023/4/30, 19, 16, 16, 3, 4, 1
2023/5/1, 33, 25, 15, 4, 4, 1
2023/5/2, 48, 25, 15, 4, 9, 1
2023/5/3, 40, 26, 19, 4, 9, 1
2023/5/4, 55, 23, 19, 4, 4, 1
2023/5/5, 58, 28, 22, 4, 4, 
2023/5/6, 56, 23, 17, 4, 13, 
2023/5/7, 57, 30, 23, 4, 7, 1
