date, pm25, pm10, o3, so2
2018/5/3, 71, 43, , 
2018/5/4, 74, 43, , 
2018/5/5, 66, 48, , 
2018/5/6, 90, 36, , 
2018/5/7, 72, 45, , 
2018/5/8, 66, 44, , 
2018/5/9, 76, 34, , 
2018/5/10, 69, 61, , 
2018/5/11, 92, 72, , 
2018/5/12, 116, 45, , 
2018/5/13, 105, 35, , 
2018/5/14, 104, 25, , 
2018/5/15, 60, 48, , 
2018/5/16, 86, 61, , 
2018/5/17, 91, 38, , 
2018/5/18, 93, 36, , 
2018/5/19, 72, 49, , 
2018/5/20, 87, 59, , 
2018/5/21, 128, 33, , 
2018/5/22, 71, 32, , 
2018/5/23, 63, 75, , 
2018/5/24, 126, 96, , 
2018/5/25, 176, 91, , 
2018/5/26, 157, 54, , 
2018/5/27, 128, 27, , 
2018/5/28, 66, 20, , 
2018/5/29, 65, 32, , 
2018/5/30, 64, 45, , 
2018/5/31, 85, 29, , 
2018/6/1, 72, 37, , 
2018/6/2, 70, 87, , 
2018/6/3, 118, 77, , 
2018/6/4, 135, 96, , 
2018/6/5, 162, 67, , 
2018/6/6, 142, 45, , 
2018/6/7, 83, 46, , 
2018/6/8, 96, 50, , 
2018/6/9, 79, 39, , 
2018/6/10, 106, 14, , 
2018/6/11, 57, 18, , 
2018/6/12, 55, 46, , 
2018/6/13, 84, 39, , 
2018/6/15, 108, 137, , 
2018/6/16, 167, 97, , 
2018/6/17, 172, 53, , 
2018/6/18, 127, 42, , 
2018/6/19, 68, 47, , 
2018/6/20, 74, 53, , 
2018/6/21, 68, 73, , 
2018/6/22, 107, 59, , 
2018/6/23, 77, 61, , 
2018/6/24, 96, 48, , 
2018/6/25, 71, 66, , 
2018/6/26, 102, 31, , 
2018/6/27, 104, 43, , 
2018/6/28, 71, 53, , 
2018/6/29, 142, 46, , 
2018/6/30, 63, 68, , 
2018/7/1, 94, 21, , 
2018/1/2, 34, 14, , 
2018/1/3, 18, 15, , 
2018/1/4, 14, 12, , 
2018/1/5, 7, 16, , 
2018/1/6, 18, 24, , 
2018/1/7, 19, 17, , 
2018/1/8, 12, 22, , 
2018/1/9, 24, 26, , 
2018/1/10, 32, 26, , 
2018/1/11, 29, 32, , 
2018/1/12, 27, 28, , 
2018/1/13, 36, 31, , 
2018/1/14, 26, 33, , 
2018/1/15, 45, 24, , 
2018/1/16, 34, 28, , 
2018/1/17, 32, 28, , 
2018/1/18, 44, 32, , 
2018/1/19, 35, 35, , 
2018/1/20, 40, 34, , 
2018/1/21, 45, 28, , 
2018/1/22, 47, 30, , 
2018/1/23, 48, 32, , 
2018/1/24, 48, 38, , 
2018/1/25, 50, 39, , 
2018/1/26, 52, 37, , 
2018/1/27, 43, 32, , 
2018/1/28, 37, 29, , 
2018/1/29, 27, 32, , 
2018/1/30, 41, 32, , 
2018/1/31, 35, 43, , 
2018/2/1, 32, 60, , 
2018/2/2, 89, 53, , 
2018/2/3, 72, 40, , 
2018/2/4, 59, 31, , 
2018/2/5, 50, 31, , 
2018/2/6, 39, 27, , 
2018/2/7, 31, 26, , 
2018/2/8, 38, 26, , 
2018/2/9, 29, 59, , 
2018/2/10, 27, 32, , 
2018/2/11, 27, 29, , 
2018/2/12, 38, 42, , 
2018/2/13, 36, 45, , 
2018/2/14, 45, 45, , 
2018/2/15, 9, 48, , 
2018/2/16, 3, 39, , 
2018/2/17, 8, 31, , 
2018/2/18, 50, 22, , 
2018/2/19, 55, 26, , 
2018/2/20, 57, 20, , 
2018/2/21, 57, 21, , 
2018/2/22, 58, 23, , 
2018/2/23, 58, 17, , 
2018/2/24, 52, 19, 13, 
2018/2/25, 53, 20, 28, 
2018/2/26, 58, 18, 35, 
2018/3/3, 62, 33, , 
2018/3/4, 59, 25, , 
2018/3/5, 60, 35, , 
2018/3/6, 56, 49, , 
2018/3/7, 79, 50, , 
2018/3/8, 73, 40, , 
2018/3/9, 66, 36, , 
2018/3/10, 62, 21, , 
2018/3/11, 56, 15, , 
2018/3/12, 52, 17, , 
2018/3/13, 53, 25, , 
2018/3/14, 56, 31, , 
2018/3/15, 58, 25, , 
2018/3/16, 56, 28, , 
2018/3/17, 58, 21, , 
2018/3/18, 56, 10, , 
2018/3/19, 52, 17, , 
2018/3/20, 52, 24, , 
2018/3/21, 58, 61, , 
2018/3/22, 81, 34, , 
2018/3/23, 69, 15, , 
2018/3/24, 52, 14, , 
2018/3/25, 53, 14, , 
2018/3/26, 53, 18, , 
2018/3/27, 56, 28, , 
2018/3/28, 60, 31, , 
2018/3/29, 63, 31, , 
2018/3/30, 60, 32, , 
2018/3/31, 70, 17, , 
2018/4/1, 53, 27, , 
2017/10/2, 40, 34, , 
2017/10/3, 103, 14, , 
2017/10/4, 54, 14, , 
2017/10/5, 31, 13, , 
2017/10/6, 43, 27, , 
2017/10/7, 30, 29, , 
2017/10/8, 52, 18, , 
2017/10/9, 54, 13, , 
2017/10/10, 46, 17, , 
2017/10/11, 39, 23, , 
2017/10/12, 57, 30, , 
2017/10/13, 71, 25, , 
2017/10/14, 52, 28, , 
2017/10/15, 36, 28, , 
2017/10/16, 36, 21, , 
2017/10/17, 44, 13, , 
2017/10/18, 22, 13, , 
2017/10/19, 23, 17, , 
2017/10/20, 30, 17, , 
2017/10/21, 38, 19, , 
2017/10/22, 28, 24, , 
2017/10/23, 39, 21, , 
2017/10/24, 38, 15, , 
2017/10/25, 21, 19, , 
2017/10/26, 30, 20, , 
2017/10/27, 28, 19, , 
2017/10/28, 32, 15, , 
2017/10/29, 28, 15, , 
2017/10/30, 36, 13, , 
2017/10/31, 43, 14, , 
2017/11/1, 35, 10, , 
2017/11/2, 24, 22, , 
2017/11/3, 23, 14, , 
2017/11/4, 25, 18, , 
2017/11/5, 38, 11, , 
2017/11/6, 24, 13, , 
2017/11/7, 34, 15, , 
2017/11/8, 36, 17, , 
2017/11/9, 41, 22, , 
2017/11/10, 44, 20, , 
2017/11/11, 28, 22, , 
2017/11/12, 29, 19, , 
2017/11/13, 30, 20, , 
2017/11/14, 24, 22, , 
2017/11/15, 23, 18, , 
2017/11/16, 23, 15, , 
2017/11/17, 19, 20, , 
2017/11/18, 20, 20, , 
2017/11/19, 25, 19, , 
2017/11/20, 20, 19, , 
2017/11/21, 21, 22, , 
2017/11/22, 30, 20, , 
2017/11/24, 24, 26, , 
2017/11/25, 32, 28, , 
2017/11/26, 38, 19, , 
2017/11/27, 29, 25, , 
2017/11/28, 26, 278, , 
2017/11/29, 20, 32, , 
2017/11/30, 14, 33, , 
2017/12/1, 14, 34, , 
2017/12/2, 31, 43, , 
2017/12/3, 48, 31, , 
2017/12/4, 43, 29, , 
2017/12/5, 44, 35, , 
2017/12/6, 45, 34, , 
2017/12/7, 44, 37, , 
2017/12/8, 51, 33, , 
2017/12/9, 43, 27, , 
2017/12/10, 32, 31, , 
2017/12/11, 21, 29, , 
2017/12/12, 32, 20, , 
