date, pm25, pm10, o3, so2, co
2020/8/21, 126, 79, 27, 15, 9
2020/8/22, 141, 71, 31, , 10
2020/8/23, 122, 55, 25, , 7
2020/8/24, 123, 34, 23, , 8
2020/8/25, 66, 35, 20, , 8
2020/8/26, 62, 27, 47, , 8
2020/8/27, 44, 37, 21, , 10
2020/8/28, 76, 31, 21, , 5
2020/8/29, 73, 19, 25, , 4
2020/8/30, 48, 27, 21, , 4
2020/8/31, 43, 45, 22, , 6
2020/9/1, 93, 49, 18, , 5
2020/9/2, 79, 51, 28, , 8
2020/9/3, 109, 47, 30, 1, 7
2020/9/4, 92, 54, 27, 3, 7
2020/9/5, 108, 47, 23, 1, 6
2020/9/6, 98, 42, 24, 2, 6
2020/9/7, 94, 33, 25, , 7
2020/9/8, 73, 36, 12, , 8
2020/9/9, 77, 31, 54, 3, 8
2020/9/10, 72, 30, 23, , 5
2020/9/11, 61, 27, 20, , 4
2020/9/12, 51, 33, 25, , 4
2020/9/13, 68, 25, 23, , 5
2020/9/14, 55, 35, 24, , 7
2020/9/15, 64, 42, 24, , 6
2020/9/16, 71, 44, 32, 2, 8
2020/9/17, 80, 42, 21, 1, 3
2020/9/18, 72, 31, 19, , 3
2020/9/19, 55, 28, 21, , 4
2020/9/20, 51, 30, 26, , 3
2020/9/21, 55, 39, 49, 1, 5
2020/9/22, 63, 50, 29, 4, 5
2020/9/23, 77, 56, 27, , 7
2020/9/24, 83, 55, 31, , 6
2020/9/25, 71, 32, 14, , 6
2020/9/26, 60, 18, 26, , 6
2020/9/27, 45, 23, 25, , 6
2020/9/28, 55, 30, 27, , 7
2020/9/29, 55, 27, 24, , 7
2020/9/30, 47, 28, 19, 1, 7
2020/10/1, 56, 31, 21, , 5
2020/4/2, 59, 70, 31, 1, 4
2020/4/3, 69, 80, 40, 1, 3
2020/4/4, 59, 65, 27, 1, 3
2020/4/5, 61, 51, 24, 1, 3
2020/4/6, 41, 53, 24, 3, 3
2020/4/7, 35, 60, 36, 1, 7
2020/4/8, 62, 62, 53, 1, 4
2020/4/9, 69, 56, 32, 1, 4
2020/4/10, 64, 49, 31, 1, 4
2020/4/11, 58, 50, 24, 2, 5
2020/4/12, 62, 50, 27, 1, 6
2020/4/13, 77, 53, 50, 2, 5
2020/4/14, 60, 56, 37, 1, 5
2020/4/15, 63, 62, 35, 1, 6
2020/4/17, 73, 67, 32, 2, 5
2020/4/18, 79, 61, 24, 2, 6
2020/4/19, 69, 56, 20, 1, 6
2020/4/20, 53, 61, 40, 1, 6
2020/4/21, 47, 74, 20, 2, 7
2020/4/22, 61, 69, 31, 1, 8
2020/4/23, 70, 59, 21, 1, 6
2020/4/24, 67, 54, 14, 1, 7
2020/4/25, 67, 54, 21, 2, 8
2020/4/26, 66, 54, 17, 1, 6
2020/4/27, 59, 49, 17, 11, 6
2020/4/28, 56, 31, 35, 9, 11
2020/4/29, 36, 42, 16, 1, 8
2020/4/30, 47, 52, 20, 1, 8
2020/5/1, 61, 59, 27, 2, 8
2020/5/2, 76, 60, 23, 1, 8
2020/5/3, 77, 61, 17, 1, 9
2020/5/4, 118, 38, 30, 1, 10
2020/5/6, 58, 58, 14, 4, 12
2020/5/7, 70, 74, 25, 2, 10
2020/5/8, 91, 72, 30, 2, 9
2020/5/9, 101, 63, 27, 2, 10
2020/5/10, 91, 52, 20, 2, 10
2020/5/11, 80, 41, 15, 2, 8
2020/5/12, 55, 54, 10, 1, 10
2020/5/13, 70, 60, 14, 1, 11
2020/5/14, 108, 65, 24, 3, 13
2020/5/15, 94, 71, 22, 13, 10
2020/5/16, 112, 70, 14, 6, 10
2020/5/17, 111, 63, 19, 2, 10
2020/5/18, 105, 55, 12, 2, 11
2020/5/19, 85, 61, 21, 1, 15
2020/5/20, 105, 68, 11, 1, 14
2020/5/21, 125, 54, 15, 3, 15
2020/5/22, 127, 47, 12, 15, 13
2020/5/23, 85, 61, 19, 4, 18
2020/5/24, 106, 61, 18, 14, 16
2020/5/25, 145, 52, 8, 2, 14
2020/5/26, 88, 55, 20, 3, 14
2020/5/27, 90, 54, 16, 2, 15
2020/5/28, 83, 69, 5, 1, 15
2020/5/29, 129, 65, 2, 1, 17
2020/5/30, 151, 49, 4, 2, 18
2020/5/31, 95, 62, 17, 3, 22
2020/6/1, 134, 69, 19, 2, 17
2020/6/2, 151, 84, 74, 2, 18
2020/6/3, 156, 78, 11, 1, 8
2020/6/4, 161, 62, 15, 1, 8
2020/6/5, 150, 70, 16, 1, 10
2020/6/6, 128, 80, 19, 1, 13
2020/6/7, 156, 87, 20, 5, 13
2020/6/8, 163, 81, 36, 11, 10
2020/6/9, 159, 74, 16, 7, 10
2020/6/10, 150, 77, 19, 2, 11
2020/6/11, 140, 78, 18, 1, 17
2020/6/12, 157, 52, 20, 2, 7
2020/6/13, 95, 56, 14, 14, 
2020/6/14, 94, 67, 14, 1, 17
2020/6/15, 154, 63, 15, 2, 21
2020/6/16, 133, 64, 8, 2, 17
2020/6/17, 123, 54, 13, 1, 14
2020/6/18, 120, 57, 26, 4, 12
2020/6/19, 86, 59, 17, 11, 12
2020/6/20, 121, 55, 16, 16, 13
2020/6/21, 90, 50, 16, 12, 11
2020/6/22, 84, 46, 38, 6, 18
2020/6/23, 109, 25, 21, 2, 9
2020/6/24, 68, 15, 20, 2, 10
2020/6/25, 51, 67, 14, 3, 23
2020/6/26, 84, 53, 16, 3, 20
2020/6/27, 123, 71, 10, 13, 28
2020/6/28, 100, 83, 11, 4, 27
2020/6/29, 167, 59, 19, 2, 17
2020/6/30, 154, 52, 26, 14, 18
2020/1/2, 48, 52, 29, 1, 4
2020/1/3, 37, 55, 39, 1, 5
2020/1/4, 36, 48, 29, 1, 5
2020/1/5, 36, 45, 22, 1, 5
2020/1/6, 33, 42, 27, 1, 4
2020/1/7, 40, 47, 23, 1, 4
2020/1/8, 32, 39, 15, 1, 4
2020/1/9, 14, 35, 39, 1, 7
2020/1/10, 15, 37, 33, 1, 3
2020/1/11, 26, 40, 39, 1, 4
2020/1/12, 27, 42, 39, 1, 5
2020/1/13, 34, 40, 49, 1, 9
2020/1/14, 39, 49, 35, 1, 6
2020/1/15, 39, 64, 24, 1, 5
2020/1/16, 23, 62, 35, 1, 5
2020/1/17, 36, 58, 39, 1, 5
2020/1/18, 48, 55, 38, 1, 6
2020/1/19, 49, 50, 26, 1, 6
2020/1/20, 46, 47, 40, 1, 9
2020/1/21, 43, 58, 37, 1, 6
2020/1/22, 48, 53, 26, 1, 5
2020/1/23, 42, 49, 23, 1, 6
2020/1/24, 37, 47, 38, 1, 6
2020/1/25, 25, 46, 39, 1, 5
2020/1/26, 37, 45, 30, 1, 4
2020/1/27, 38, 45, 32, 1, 5
2020/1/28, 21, 54, 39, 1, 8
2020/1/29, 42, 49, 24, 1, 5
2020/1/30, 30, 51, 33, 1, 5
2020/1/31, 38, 50, 40, 1, 5
2020/2/1, 36, 47, 30, 1, 5
2020/2/2, 42, 42, 27, 1, 5
2020/2/3, 22, 38, 38, 1, 4
2020/2/4, 16, 39, 23, 1, 4
2020/2/5, 16, 41, 28, 1, 4
2020/2/6, 19, 39, 26, 1, 4
2020/2/7, 18, 45, 34, 1, 11
2020/2/8, 27, 45, 41, 1, 5
2020/2/9, 30, 44, 17, 1, 5
2020/2/10, 37, 50, , , 
2020/2/11, 38, 53, , , 
2020/2/12, 51, 54, , , 
2020/2/13, 56, 52, , , 
2020/2/14, 56, 48, , , 
2020/2/15, 44, 51, , , 
2020/2/16, 51, 40, , , 
2020/2/17, 41, 35, , , 
2020/2/18, 18, 49, , , 
2020/2/19, 32, 55, , , 
2020/2/20, 58, 61, , , 
2020/2/21, 61, 55, , , 
2020/2/22, 51, 48, , , 
2020/2/23, 42, 46, , , 
2020/2/24, 40, 49, 19, 1, 14
2020/2/25, 45, 52, 30, 1, 15
2020/2/26, 49, 60, 40, 1, 11
2020/2/27, 21, 55, 35, 1, 
2020/2/28, 4, 61, 48, 1, 2
2020/2/29, 5, 52, 34, 1, 3
2020/3/1, 18, 10, 22, 1, 1
2020/3/2, 65, 5, 32, 1, 
2020/3/3, 53, 43, 56, 2, 1
2020/3/4, 40, 54, 32, 1, 1
2020/3/5, 52, 67, 38, 1, 1
2020/3/6, 60, 67, 38, 1, 9
2020/3/7, 66, 55, 30, 1, 4
2020/3/8, 53, 43, 34, 1, 2
2020/3/9, 33, 59, 61, 1, 3
2020/3/10, 39, 69, 38, 3, 3
2020/3/11, 49, 63, 27, 1, 3
2020/3/12, 45, 49, 25, 1, 5
2020/3/13, 30, 44, 20, 1, 2
2020/3/14, 32, 46, 26, 1, 2
2020/3/15, 23, 46, 28, 1, 1
2020/3/16, 36, 51, 25, 1, 5
2020/3/17, 31, 50, 28, 1, 2
2020/3/18, 34, 54, 32, 1, 2
2020/3/19, 39, 57, 34, 1, 2
2020/3/20, 36, 61, 35, 1, 2
2020/3/21, 45, 49, 22, 1, 2
2020/3/22, 38, 38, 22, 1, 2
2020/3/23, 41, 46, 24, 1, 2
2020/3/24, 26, 55, 37, 1, 6
2020/3/25, 29, 51, 24, 1, 4
2020/3/26, 29, 57, 27, 1, 4
2020/3/27, 44, 54, 14, 1, 4
2020/3/28, 49, 57, 27, 1, 5
2020/3/29, 63, 53, 22, 1, 4
2020/3/30, 68, 49, 27, 1, 5
2020/3/31, 42, 58, 37, 1, 8
2020/4/1, 54, 64, 28, 1, 3
2019/10/2, 28, 22, 22, 1, 6
2019/10/3, 33, 28, 25, 1, 9
2019/10/4, 40, 27, 10, 1, 5
2019/10/5, 41, 32, 9, 1, 5
2019/10/6, 51, 29, 10, 5, 5
2019/10/7, 55, 27, 10, 3, 6
2019/10/8, 23, 40, 9, 7, 9
2019/10/9, 30, 50, 7, 1, 7
2019/10/10, 51, 53, 30, 1, 8
2019/10/11, 55, 54, 15, 1, 8
2019/10/12, 56, 52, 15, 1, 7
2019/10/13, 54, 55, 18, 1, 8
2019/10/14, 73, 43, 15, 2, 6
2019/10/15, 52, 33, 22, 1, 7
2019/10/16, 47, 33, 17, 1, 11
2019/10/17, 32, 33, 42, 1, 6
2019/10/18, 24, 37, 29, 1, 7
2019/10/19, 38, , 20, 1, 7
2019/10/23, 16, 38, 33, 1, 5
2019/10/24, 28, 43, 27, 1, 6
2019/10/25, 46, 41, 28, 6, 6
2019/10/26, 34, 35, 27, 1, 5
2019/10/27, 23, 27, 12, 1, 6
2019/10/28, 16, 30, 43, 1, 8
2019/10/29, 19, 35, 20, 3, 4
2019/10/30, 11, 32, 27, 2, 5
2019/10/31, 14, 31, 30, 1, 5
2019/11/1, 26, 26, 22, 1, 
2019/11/2, 20, 22, 26, 2, 
2019/11/3, 7, 30, 28, 1, 
2019/11/4, 19, 29, 19, 2, 6
2019/11/5, 20, 31, 25, 4, 4
2019/11/6, 23, 41, 37, 4, 3
2019/11/9, 31, 56, 32, 1, 7
2019/11/10, 39, 44, 34, 1, 6
2019/11/11, 29, 52, 24, 1, 11
2019/11/12, 42, 49, 30, 11, 7
2019/11/13, 31, 44, 30, 1, 7
2019/11/14, 29, 46, 48, 1, 5
2019/11/15, 29, 45, 26, 1, 6
2019/11/16, 25, 40, 22, 1, 6
2019/11/17, 16, 32, 27, 1, 5
2019/11/18, 10, 42, 35, 2, 6
2019/11/19, 17, 54, 66, 14, 10
2019/11/20, 33, 49, 30, 1, 5
2019/11/21, 32, 51, 30, 2, 5
2019/11/22, 27, 54, 28, 2, 6
2019/11/23, 47, 41, 15, 1, 6
2019/11/24, 25, 27, 20, 1, 5
2019/11/25, 19, 29, 17, 12, 5
2019/11/26, 14, 37, 23, 5, 7
2019/11/27, 17, 48, 27, 7, 4
2019/11/28, 20, 48, 52, 3, 5
2019/11/29, 22, 36, 26, 1, 4
2019/11/30, 15, 34, 28, 6, 4
2019/12/1, 18, 41, 32, 1, 4
2019/12/2, 28, 46, 32, 7, 4
2019/12/3, 40, 47, 33, 5, 7
2019/12/4, 34, 49, 33, 2, 3
2019/12/5, 29, 48, 32, 10, 3
2019/12/6, 34, 48, 32, 1, 4
2019/12/7, 32, 45, 28, 2, 4
2019/12/8, 34, 35, 32, 1, 4
2019/12/9, 29, 45, 29, 1, 5
2019/12/10, 29, 48, 30, 1, 5
2019/12/11, 25, 45, 29, 16, 4
2019/12/12, 22, 42, 84, 1, 4
2019/12/13, 16, 48, 35, 1, 4
2019/12/14, 26, 34, 24, 2, 5
2019/12/15, 24, 25, 26, 2, 5
2019/12/16, 21, 31, 32, 2, 4
2019/12/17, 22, 38, 33, 1, 5
2019/12/18, 26, 37, 25, 1, 4
2019/12/19, 30, 38, 20, 2, 5
2019/12/20, 19, 39, 26, 8, 5
2019/12/21, 20, 35, 33, 2, 8
2019/12/22, 16, 32, 34, 1, 4
2019/12/23, 15, 36, 33, 1, 4
2019/12/24, 19, 41, 16, 1, 5
2019/12/25, 14, 32, 25, 1, 5
2019/12/26, 11, 38, 51, 2, 4
2019/12/27, 15, 50, 40, 1, 9
2019/12/28, 30, 49, 27, 6, 4
2019/12/29, 34, 38, , , 
2019/12/30, 28, , , , 
2019/7/2, 91, 67, 11, 1, 12
2019/7/3, 150, 68, 10, 1, 11
2019/7/4, 141, 56, 6, 1, 7
2019/7/5, 124, 52, 3, 1, 23
2019/7/6, 91, 81, 10, 1, 21
2019/7/7, 146, 84, 11, 1, 14
2019/7/8, 162, 71, 8, 1, 12
2019/7/9, 157, 68, 17, 1, 7
2019/7/10, 117, 80, 7, 2, 8
2019/7/11, 154, 81, 10, 1, 6
2019/7/12, 164, 80, 14, 3, 4
2019/7/13, 158, 87, 17, 5, 5
2019/7/14, 158, 72, 17, 7, 4
2019/7/15, 160, 59, 16, 7, 14
2019/7/16, 96, 69, 19, 2, 16
2019/7/17, 138, 80, 11, 1, 9
2019/7/18, 149, 76, 10, 1, 8
2019/7/19, 156, 63, 7, 12, 20
2019/7/20, 121, 83, 8, 5, 28
2019/7/21, 160, 65, 19, 1, 15
2019/7/22, 147, 46, 38, 1, 13
2019/7/23, 88, 53, 13, 1, 13
2019/7/24, 105, 64, 12, 1, 16
2019/7/25, 121, 77, 18, 1, 13
2019/7/26, 156, 76, 19, 3, 15
2019/7/27, 153, 88, 10, 9, 19
2019/7/28, 154, 86, 9, 2, 17
2019/7/29, 171, 68, 13, 6, 14
2019/7/30, 138, 65, 14, 15, 10
2019/7/31, 132, 51, 13, 2, 8
2019/8/1, 88, 37, 19, 2, 6
2019/8/2, 76, 38, 12, , 13
2019/8/3, 53, 65, 9, , 23
2019/8/4, 115, 64, 19, 2, 16
2019/8/5, 144, 52, 29, 12, 8
2019/8/6, 112, 54, 13, 3, 10
2019/8/7, 86, 59, 13, 2, 15
2019/8/8, 99, 63, 17, 2, 9
2019/8/9, 118, 66, 22, 2, 11
2019/8/10, 143, 62, 15, 12, 11
2019/8/11, 138, 51, 21, 3, 9
2019/8/12, 116, 40, 37, 2, 8
2019/8/13, 70, 72, 9, 2, 17
2019/8/14, 98, 84, 20, 2, 17
2019/8/15, 152, 62, 14, 3, 11
2019/8/16, 120, 55, 16, 2, 13
2019/8/17, 98, 54, 18, 3, 9
2019/8/18, 107, 42, 9, 2, 8
2019/8/19, 84, 47, 10, 9, 9
2019/8/20, 81, 56, 36, 15, 10
2019/8/21, 89, 56, 10, 2, 9
2019/8/22, 98, 48, 13, 17, 15
2019/8/23, 93, 57, 19, 2, 9
2019/8/24, 92, 59, 23, 3, 11
2019/8/25, 100, 57, 20, 4, 11
2019/8/26, 93, 69, 14, 17, 13
2019/8/27, 99, 62, 13, 13, 10
2019/8/28, 107, 55, 26, 2, 8
2019/8/29, 75, 34, 13, 2, 6
2019/8/30, 43, 31, 17, 6, 6
2019/8/31, 45, 42, 18, 2, 7
2019/9/1, 61, 46, 18, 2, 8
2019/9/2, 78, 44, 16, 2, 7
2019/9/3, 65, 58, 23, 2, 9
2019/9/4, 76, 61, 40, 2, 13
2019/9/5, 93, 44, 23, 2, 7
2019/9/6, 68, 48, 13, 2, 6
2019/9/7, 54, 46, 14, 1, 6
2019/9/8, 81, 22, 18, 1, 5
2019/9/9, 55, 19, 18, 1, 5
2019/9/10, 27, 30, 19, 2, 8
