date, pm25, pm10, o3, no2, so2, co
2023/7/16, 65, 45, 17, 10, 2, 2
2023/7/17, 63, 33, 12, 13, 3, 3
2023/7/18, 67, 45, 10, 18, 5, 3
2023/7/19, 73, 34, 12, 12, 3, 2
2023/7/20, 58, 14, 18, 7, 2, 1
2023/7/21, 27, 18, 17, 5, 2, 1
2023/7/22, 32, 24, 19, 3, 2, 1
2023/7/23, 27, 34, 17, 5, 2, 1
2023/7/24, 40, 31, 18, 8, 2, 2
2023/7/25, 43, 24, 18, 10, 3, 2
2023/7/26, 36, 32, 14, 8, 2, 2
2023/7/27, 47, 35, 15, 9, 2, 3
2023/7/28, 55, 36, 13, 12, 3, 3
2023/7/29, 59, 36, 17, 10, 3, 3
2023/7/30, 61, 20, 18, 7, 2, 2
2023/7/31, 54, 19, 16, 8, 2, 2
2023/8/1, 50, 35, 15, 7, 2, 2
2023/8/2, 61, 61, 16, 9, 2, 2
2023/8/3, 80, 32, 18, 11, 4, 2
2023/8/4, 51, 30, 20, 11, 3, 2
2023/8/5, 59, 21, 15, 7, 2, 2
2023/8/6, 47, 16, 19, 7, 2, 2
2023/8/7, 30, 26, 15, 11, 3, 2
2023/8/8, 39, 29, 15, 10, 2, 3
2023/8/9, 62, 27, 19, 9, 2, 2
2023/8/10, 63, 17, 19, 5, 2, 1
2023/8/11, 29, 41, 20, 4, 2, 1
2023/8/12, 46, 51, 19, 7, 2, 1
2023/8/13, 58, 50, 20, 9, 3, 2
2023/8/14, 68, 21, 18, 10, 3, 2
2023/8/15, 43, 18, 16, 6, 2, 1
2023/8/16, 26, 18, 15, 8, 2, 1
2023/8/17, 27, 17, 19, 6, 2, 1
2023/8/18, 23, 22, 18, 6, 2, 1
2023/8/19, 23, 16, 15, 8, 2, 2
2023/8/20, 34, 19, 13, 10, 3, 2
2023/8/21, 27, 20, 15, 6, 2, 1
2023/8/22, 20, 19, 23, 3, 2, 1
2023/8/23, 23, , 20, 5, 2, 1
2023/8/24, 23, , 20, 5, 2, 1
2023/8/25, 30, , 19, 4, 2, 1
2023/8/26, 25, 17, 20, 7, 2, 1
2023/8/27, 39, 21, 22, 11, 3, 3
2023/8/28, 51, 18, 19, 9, 2, 2
2023/8/29, 41, 41, 21, 11, 3, 2
2023/8/30, 58, 36, 20, 4, 2, 1
2023/8/31, 44, 51, 19, 6, 2, 2
2023/9/1, 66, 51, 13, 9, 2, 2
2023/9/2, 73, 28, 16, 10, 3, 2
2023/9/3, 50, 19, 18, 9, 3, 2
2023/9/4, 38, 22, 17, 11, 3, 2
2023/9/5, 33, 16, 12, 8, 2, 2
2023/9/6, 19, 16, 13, 11, 3, 3
