date, pm25, pm10, o3, no2, so2, co
2023/8/7, 82, 30, 12, 9, , 7
2023/8/8, 64, 34, 12, 8, 1, 11
2023/8/9, 67, 22, 15, 7, , 4
2023/8/10, 46, 13, 16, 2, 1, 2
2023/8/11, 21, 23, 14, 9, , 9
2023/8/12, 52, 20, 13, 6, , 8
2023/8/13, 41, 18, 14, 3, , 8
2023/8/14, 43, 30, 12, 3, , 12
2023/8/15, 69, 7, 12, 3, , 1
2023/8/16, 15, 9, 14, 5, 1, 2
2023/8/17, 19, 5, 15, , 1, 
2023/8/18, 12, 26, 13, 8, 4, 10
2023/8/19, 47, 10, 13, , 12, 2
2023/8/20, 20, 10, 12, 1, 20, 3
2023/8/21, 24, 12, 13, 1, 13, 2
2023/8/22, 24, 10, 12, 5, 1, 3
2023/8/23, 27, 13, 12, 6, 3, 6
2023/8/24, 33, 17, 13, 8, 3, 7
2023/8/25, 47, 22, 13, 8, 1, 8
2023/8/26, 52, 24, 12, 6, 1, 9
2023/8/27, 52, 30, 12, 7, 3, 13
2023/8/28, 65, 15, 12, 6, 1, 5
2023/8/29, 36, 25, 12, 7, 1, 8
2023/8/30, 46, 14, 13, 6, 1, 4
2023/8/31, 27, 32, 10, 7, 1, 7
2023/9/1, 53, 18, 18, 6, 1, 4
2023/9/2, 35, 30, 9, 8, 1, 6
2023/9/3, 61, 17, 16, 5, 1, 5
2023/9/4, 41, 30, 12, 7, 2, 19
2023/9/5, 49, 16, 14, 6, , 6
2023/9/6, 36, 15, 14, 5, 6, 3
2023/9/7, 26, 24, 13, 9, 4, 5
2023/9/8, 48, 35, 12, 7, 5, 7
2023/9/9, 83, 11, 17, 3, 8, 4
2023/9/10, 66, 18, 16, 4, 4, 3
2023/9/11, 125, 15, 16, 4, 4, 3
2023/9/12, 98, 23, 14, 4, , 6
2023/9/13, 40, 32, 15, 7, , 9
2023/9/14, 50, 9, 14, 6, , 4
2023/9/15, 23, 11, 12, 4, 9, 4
2023/9/16, 24, 12, 15, 1, 4, 2
2023/9/17, 27, 17, 14, 3, , 5
2023/9/18, 40, 15, 13, 3, , 5
2023/9/19, 33, 18, 11, 4, , 4
2023/9/20, 35, 38, 11, 7, 1, 6
2023/9/21, 51, 21, 12, 4, 1, 3
2023/9/22, 33, 8, 12, 4, , 4
2023/9/23, 20, 15, 12, 2, , 4
2023/9/24, 30, 11, 13, 2, , 3
2023/9/25, 27, 20, 13, 3, 2, 3
2023/9/26, 37, 22, 14, 5, , 2
2023/9/27, 29, 16, 13, 4, , 2
2023/9/28, 20, 22, 12, 4, , 2
2023/9/29, 26, 31, 11, 4, , 2
2023/9/30, 36, 31, 12, 4, 2, 3
2023/10/1, 42, 9, 15, , , 2
2023/4/2, 42, 9, 12, , , 2
2023/4/3, 22, 21, 22, 5, 6, 20
2023/4/4, 32, 37, 14, 7, , 4
2023/4/5, 45, 28, 8, 7, 6, 6
2023/4/6, 41, 11, 15, 3, , 2
2023/4/7, 26, 23, 13, 4, , 3
2023/4/8, 45, 25, 17, 3, 1, 4
2023/4/9, 53, 19, 13, 2, , 5
2023/4/10, 36, 22, 6, 3, 2, 4
2023/4/11, 34, 10, 9, 2, 2, 4
2023/4/12, 22, 17, 6, 6, 2, 4
2023/4/13, 38, 6, 10, 1, 1, 2
2023/4/14, 14, 14, 13, 2, , 2
2023/4/15, 30, 21, 14, 4, 1, 3
2023/4/16, 38, 27, 15, 3, , 5
2023/4/17, 42, 22, 15, 3, , 4
2023/4/18, 33, 26, 14, 5, , 4
2023/4/19, 42, 20, 10, 3, 1, 4
2023/4/20, 33, 21, 7, 4, , 3
2023/4/21, 33, 11, 9, 4, 1, 3
2023/4/22, 26, 12, 11, 2, , 4
2023/4/23, 32, 18, 11, 3, 1, 4
2023/4/24, 40, 16, 11, 4, , 2
2023/4/25, 40, 28, 13, 7, , 3
2023/4/26, 63, 31, 13, 6, 1, 6
2023/4/27, 64, 14, 12, 6, , 2
2023/4/28, 29, 14, 14, 3, , 3
2023/4/29, 26, 17, 17, 3, 4, 1
2023/4/30, 28, 18, 15, 2, 1, 2
2023/5/1, 31, 17, 14, 3, , 4
2023/5/2, 39, 21, 16, 4, 7, 27
2023/5/3, 44, 20, 11, 3, , 6
2023/5/4, 44, 20, 13, 5, , 5
2023/5/5, 45, 28, 12, 5, 1, 8
2023/5/6, 57, 17, 11, 5, 1, 6
2023/5/7, 49, 22, 12, 4, , 4
2023/5/8, 51, 20, 12, 4, , 6
2023/5/9, 43, 30, 13, 5, , 5
2023/5/10, 58, 29, 8, 6, , 6
2023/5/11, 61, 23, 12, 5, , 7
2023/5/12, 52, 18, 12, 4, , 6
2023/5/13, 43, 17, 11, 5, , 5
2023/5/14, 43, 21, 22, 6, , 5
2023/5/15, 49, 19, 21, 6, , 4
2023/5/16, 42, 11, 12, 4, , 3
2023/5/17, 30, 24, 15, 4, , 5
2023/5/18, 48, 32, 12, 5, , 8
2023/5/19, 69, 32, 15, 5, 1, 12
2023/5/20, 70, 31, 16, 4, 2, 11
2023/5/21, 65, 16, 16, 2, , 5
2023/5/22, 26, 18, 14, 5, , 4
2023/5/23, 28, 21, 15, 4, 1, 3
2023/5/24, 30, 23, 15, 7, 2, 7
2023/5/25, 47, 31, 12, 10, 1, 13
2023/5/26, 57, 14, 16, 5, 5, 4
2023/5/27, 31, 27, 14, 4, 1, 10
2023/5/28, 55, 23, 10, 4, 1, 9
2023/5/29, 61, 38, 10, 5, 1, 11
2023/5/30, 80, 38, 14, 6, 2, 11
2023/5/31, 76, 22, 10, 6, , 6
2023/6/1, 49, 20, 12, 5, 1, 9
2023/6/2, 50, 20, 16, 4, 4, 3
2023/6/3, 32, 30, 15, 3, 1, 10
2023/6/4, 59, 24, 13, 3, , 8
2023/6/5, 45, 39, 9, 7, , 12
2023/6/6, 71, 16, 12, 7, , 6
2023/6/7, 34, 37, 10, 7, , 7
2023/6/8, 63, 6, 13, 3, , 4
2023/6/9, 13, , , , , 
2023/6/12, 50, 36, 9, 8, 1, 12
2023/6/13, 74, 35, 8, 7, 1, 10
2023/6/14, 67, 28, 14, 4, , 8
2023/6/15, 61, 27, 11, 4, , 10
2023/6/16, 81, 27, 9, 7, , 8
2023/6/17, 52, 26, 12, 6, , 8
2023/6/18, 57, 43, 11, 8, 1, 14
2023/6/19, 98, 49, 6, 9, , 10
2023/6/20, 102, 33, 10, 9, , 6
2023/6/21, 64, 10, 19, 3, , 1
2023/6/22, 19, 9, 18, 2, 9, 1
2023/6/23, 18, 11, 15, 1, 30, 
2023/6/24, 25, 11, 18, 5, 7, 3
2023/6/25, 34, 13, 18, 2, 11, 1
2023/6/26, 24, 27, 18, 4, 5, 4
2023/6/27, 44, 30, 17, 3, , 13
2023/6/28, 56, 26, 13, 5, , 9
2023/6/29, 46, 42, 7, 8, 1, 13
2023/6/30, 85, 47, 6, 9, 1, 13
2023/7/1, 84, 25, 13, 5, , 12
2023/2/14, 24, 34, 9, 3, , 1
2023/2/15, 35, 34, 8, 2, , 
2023/2/16, 27, 33, 10, 3, 1, 
2023/2/17, 37, 47, 13, 4, 1, 1
2023/2/18, 49, 52, 14, 6, 5, 3
2023/2/19, 77, 29, 10, 2, 1, 6
2023/2/20, 52, 32, 11, 1, 1, 1
2023/2/21, 44, 41, 11, 1, , 1
2023/2/22, 50, 48, 12, 7, 5, 5
2023/2/23, 59, 42, 9, 4, 1, 3
2023/2/24, 47, 24, 9, 1, 1, 1
2023/2/25, 28, 21, 11, 1, , 1
2023/2/26, 28, 29, 11, 3, 1, 1
2023/2/27, 42, 34, 11, 3, 1, 1
2023/2/28, 43, 31, 10, 2, 1, 1
2023/3/1, 42, 24, 11, 3, 1, 1
2023/3/2, 36, 27, 11, 3, 1, 1
2023/3/3, 34, 19, 10, 2, , 1
2023/3/4, 29, 20, 13, 1, 1, 1
2023/3/5, 28, 24, 9, 1, 1, 2
2023/3/6, 34, 20, 4, 1, 1, 2
2023/3/7, 23, 19, 5, 3, 2, 3
2023/3/8, 28, 22, 6, 1, 1, 2
2023/3/9, 25, 15, 6, 3, , 2
2023/3/10, 28, 28, 9, 4, 1, 5
2023/3/11, 41, 27, 9, 3, , 2
2023/3/12, 26, 17, 7, 2, 3, 2
2023/3/13, 29, 21, 13, 1, , 2
2023/3/14, 29, 29, 10, 3, 3, 3
2023/3/15, 33, 32, 9, 5, 5, 2
2023/3/16, 34, 24, 6, 3, 2, 4
2023/3/17, 29, 21, 12, 2, 1, 3
2023/3/18, 31, 25, 10, 3, , 5
2023/3/19, 38, 18, 11, 1, 1, 2
2023/3/20, 30, 28, 13, 2, , 2
2023/3/21, 35, 26, 1, 6, , 4
2023/3/22, 37, 24, 14, 1, , 3
2023/3/23, 38, 27, 14, 3, , 3
2023/3/24, 39, 28, 12, 3, 1, 3
2023/3/25, 41, 25, 12, 3, , 3
2023/3/26, 40, 33, 11, 4, 3, 5
2023/3/27, 51, 24, 12, 3, 2, 4
2023/3/28, 37, 13, 11, 5, , 2
2023/3/29, 27, 22, 14, 3, , 3
2023/3/30, 32, 28, 13, 5, , 3
2023/3/31, 39, 30, 14, 4, , 3
2023/4/1, 46, 25, 12, 4, , 3
2023/6/11, , 21, 13, 4, , 7
2023/2/13, , 33, 11, 1, 13, 
