date, pm25, pm10
2023/6/25, 16, 11
2023/6/26, 12, 18
2023/6/27, 20, 13
2023/6/28, 19, 21
2023/6/29, 36, 34
2023/6/30, 63, 25
2023/7/1, 43, 22
2023/2/14, 32, 30
2023/2/15, 34, 35
2023/2/16, 33, 34
2023/2/17, 34, 54
2023/2/18, 58, 49
2023/2/19, 72, 40
2023/2/20, 68, 46
2023/2/21, 64, 64
2023/2/22, 96, 53
2023/2/23, 87, 45
2023/2/24, 57, 23
2023/2/25, 31, 
2023/2/28, 48, 36
2023/3/1, 51, 32
2023/3/2, 35, 46
2023/3/3, 49, 24
2023/3/4, 31, 25
2023/3/5, 30, 21
2023/3/6, 30, 13
2023/3/7, 18, 11
2023/3/8, 23, 12
2023/3/9, 19, 16
2023/3/10, 25, 20
2023/3/11, 42, 14
2023/3/12, 21, 13
2023/3/13, 22, 27
2023/3/14, 42, 33
2023/3/15, 37, 
2023/3/21, 39, 32
2023/3/22, 40, 38
2023/3/23, 54, 31
2023/3/24, 37, 37
2023/3/25, 44, 29
2023/3/26, 34, 24
2023/3/27, 34, 21
2023/3/28, 31, 11
2023/3/29, 19, 20
2023/3/30, 25, 26
2023/3/31, 39, 25
2023/4/1, 41, 30
2023/11/6, , 15
2023/7/12, , 25
2023/2/13, , 29
2023/2/27, , 45
2023/3/20, , 31
