date, pm25, pm10, o3, no2, so2
2023/8/2, 63, 41, 13, 10, 1
2023/8/3, 82, 69, 12, 11, 1
2023/8/4, 136, 126, 12, 14, 2
2023/8/5, 199, 55, 16, 6, 2
2023/8/6, 107, 44, 18, 4, 1
2023/8/7, 104, 98, 15, 12, 2
2023/8/8, 180, 69, 12, 13, 4
2023/8/9, 152, 44, 16, 5, 1
2023/8/10, 91, 39, 21, 4, 3
2023/8/11, 64, 40, 21, 7, 1
2023/8/12, 90, 54, 14, 10, 1
2023/8/13, 122, 76, 15, 8, 1
2023/8/14, 156, 75, 18, 10, 5
2023/8/15, 152, 35, 13, 5, 1
2023/8/16, 94, 29, 16, 4, 1
2023/8/17, 75, 34, 20, 4, 1
2023/8/18, 72, 33, 20, 6, 1
2023/8/19, 81, 32, 18, 2, 1
2023/8/20, 70, 33, 18, 1, 
2023/8/21, 58, 45, 19, 5, 1
2023/8/22, 90, 33, 21, 5, 1
2023/8/23, 76, 53, 19, 7, 1
2023/8/24, 111, 31, 20, 7, 1
2023/8/25, 80, 33, 18, 5, 1
2023/8/26, 79, 64, 18, 9, 2
2023/8/27, 132, 61, 21, 7, 1
2023/8/28, 127, 28, 18, 1, 6
2023/8/29, 73, 53, 16, 1, 1
2023/8/30, 127, 26, 19, 1, 1
2023/8/31, 68, 53, 12, 1, 1
2023/9/1, 124, 32, 16, 1, 1
2023/9/2, 79, 32, 13, 1, 1
2023/9/3, 75, 28, 17, 1, 1
2023/9/4, 72, 43, 15, , 1
2023/9/5, 101, 21, 15, 1, 1
2023/9/6, 64, 40, 17, , 1
2023/9/7, 97, 33, 16, 7, 1
2023/9/8, 90, 30, 18, 4, 1
2023/9/9, 70, 31, 18, 2, 1
2023/9/10, 75, 24, 20, 1, 1
2023/9/11, 62, 25, 18, 3, 1
2023/9/12, 55, 30, 18, 2, 1
2023/9/13, 67, 29, 17, 2, 1
2023/9/14, 75, 26, 17, 3, 1
2023/9/15, 82, 22, 15, 1, 1
2023/9/16, 67, 22, 18, 1, 1
2023/9/17, 56, 16, 19, 1, 1
2023/9/18, 43, 33, 19, 1, 1
2023/9/19, 83, 31, 16, 1, 2
2023/9/20, 80, 38, 16, 2, 1
2023/9/21, 84, 21, 17, 1, 
2023/9/22, 54, 12, 18, 1, 1
2023/9/23, 38, 19, 18, 3, 1
2023/9/24, 45, 18, 19, 3, 1
2023/9/25, 45, 29, 20, 4, 5
2023/9/26, 72, 16, 19, 5, 1
2023/9/27, 41, 20, 19, 5, 1
2023/9/28, 46, 17, 18, 7, 2
2023/9/29, 36, 40, 15, 8, 2
2023/9/30, 94, 49, 18, 5, 1
2023/10/1, 78, 22, 21, 3, 1
2023/4/2, 60, 24, 9, 5, 1
2023/4/3, 46, 33, 9, 8, 1
2023/4/4, 61, 53, 13, 10, 1
2023/4/5, 77, 47, 9, 6, 1
2023/4/6, 71, 23, 11, 7, 1
2023/4/7, 43, 39, 11, 7, 2
2023/4/8, 78, 54, 19, 7, 2
2023/4/9, 112, 42, 14, 5, 1
2023/4/10, 92, 30, 3, 6, 1
2023/4/11, 65, 6, 9, 4, 1
2023/4/12, 12, 7, 5, 7, 1
2023/4/13, 16, 7, 8, 5, 1
2023/4/14, 12, 16, 9, 6, 1
2023/4/15, 27, 38, 13, 5, 1
2023/4/16, 72, 47, 12, 3, 1
2023/4/17, 88, 37, 11, 6, 1
2023/4/18, 67, 44, 13, 6, 1
2023/4/19, 84, 45, 6, 7, 1
2023/4/20, 80, 42, 8, 5, 1
2023/4/21, 73, 24, 7, 5, 1
2023/4/22, 58, 31, 5, 6, 3
2023/4/23, 68, 44, 9, 5, 2
2023/4/24, 97, 43, 6, 9, 1
2023/4/25, 89, 55, 11, 9, 3
2023/4/26, 107, 56, 9, 9, 1
2023/4/27, 103, 29, 11, 5, 1
2023/4/28, 59, 19, 16, 2, 1
2023/4/29, 42, 40, 16, 3, 1
2023/4/30, 70, 48, 16, 3, 1
2023/5/1, 96, 51, 13, 4, 1
2023/5/2, 110, 49, 9, 7, 4
2023/5/3, 102, 57, 7, 7, 1
2023/5/4, 111, 54, 10, 8, 1
2023/5/5, 114, 81, 6, 10, 2
2023/5/6, 151, 55, 8, 7, 1
2023/5/7, 121, 45, 10, 6, 1
2023/5/8, 95, 62, 8, 8, 1
2023/5/9, 124, 80, 5, 11, 1
2023/5/10, 136, 92, 3, 9, 1
2023/5/11, 168, 113, 6, 10, 1
2023/5/12, 183, 113, 4, 8, 2
2023/5/13, 172, 89, 4, 7, 1
2023/5/14, 158, 70, 16, 4, 1
2023/5/15, 133, 41, 18, 4, 1
2023/5/16, 79, 32, 7, 6, 8
2023/5/17, 69, 37, 11, 5, 1
2023/5/18, 79, 76, 10, 7, 1
2023/5/19, 149, 50, 14, 4, 1
2023/5/20, 137, 56, 16, 3, 1
2023/5/21, 113, 31, 16, 2, 1
2023/5/22, 64, 48, 16, 3, 16
2023/5/23, 96, 42, 18, 3, 
2023/5/24, 69, 43, 16, 3, 
2023/5/25, 79, 64, 15, 4, 1
2023/5/26, 114, 29, 16, 4, 1
2023/5/27, 61, 60, 10, 8, 2
2023/5/28, 113, 56, 8, 6, 1
2023/5/29, 131, 97, 13, 7, 5
2023/5/30, 213, 96, 10, 6, 2
2023/5/31, 187, 40, 11, 6, 1
2023/6/1, 89, 52, 13, 3, 1
2023/6/2, 120, 44, 16, 3, 1
2023/6/3, 67, 46, 17, 3, 1
2023/6/4, 68, 68, 13, 4, 3
2023/6/5, 161, 68, 15, 9, 6
2023/6/6, 125, 49, 14, 4, 1
2023/6/7, 85, 67, 13, 9, 1
2023/6/8, 121, 22, 16, 2, 
2023/6/9, 45, 43, 18, 5, 
