date, pm25, pm10, o3, no2, so2, co
2023/10/31, 42, 19, 11, 5, , 4
2023/11/1, 33, 14, 12, 3, , 3
2023/7/2, 79, 9, 16, 2, 1, 6
2023/7/3, 18, 16, 16, 3, , 4
2023/7/4, 23, 28, 15, 6, , 8
2023/7/5, 41, 43, 7, 9, 1, 13
2023/7/6, 96, 46, 9, 10, 1, 13
2023/7/7, 100, 33, 16, 5, 1, 9
2023/7/8, 70, 17, 15, 5, , 5
2023/7/9, 27, 43, 13, 6, 1, 15
2023/7/10, 100, 36, 9, 9, 1, 9
2023/7/11, 77, 40, 4, 9, 1, 11
2023/7/12, 108, 39, 9, 10, 2, 9
2023/7/13, 82, 47, 8, 9, 2, 10
2023/7/14, 96, 50, 9, 9, 2, 12
2023/7/15, 113, 50, 11, 9, 1, 13
2023/7/16, 119, 39, 11, 9, 1, 9
2023/7/17, 108, 52, 8, 8, 1, 12
2023/7/18, 105, 54, 5, 12, 1, 12
2023/7/19, 111, 26, 13, 7, 1, 9
2023/7/20, 60, 8, 14, 4, , 3
2023/7/21, 19, 22, 15, 9, 2, 15
2023/7/22, 37, 17, 14, 7, , 7
2023/7/23, 29, 27, 9, 6, , 8
2023/7/24, 67, 33, 15, 4, 1, 9
2023/7/25, 74, 21, 13, 7, , 10
2023/7/26, 36, 29, 8, 7, , 8
2023/7/27, 59, 41, 9, 9, , 12
2023/7/28, 80, 48, 7, 8, , 10
2023/7/29, 87, 25, 9, 6, , 10
2023/7/30, 65, 24, 7, 5, , 8
2023/7/31, 62, 34, 10, 6, , 19
2023/8/1, 75, 30, 12, 8, , 11
2023/8/2, 53, 32, 10, 10, , 4
2023/8/3, 58, 40, 11, 11, , 3
2023/8/4, 80, 34, 10, 9, , 4
2023/8/5, 60, 30, 14, 8, , 4
2023/8/6, 66, 40, 12, 8, , 8
2023/8/7, 91, 48, 9, 8, , 7
2023/8/8, 87, 44, 9, 10, , 7
2023/8/9, 89, 27, 13, 7, , 7
2023/8/10, 49, 17, 15, 5, , 3
2023/8/11, 21, 35, 11, 10, , 8
2023/8/12, 76, 32, 11, 8, , 5
2023/8/13, 72, 25, 12, 5, , 5
2023/8/14, 60, 39, 9, 7, , 6
2023/8/15, 81, 7, 12, 2, , 
2023/8/16, 17, 12, 12, 6, , 6
2023/8/17, 28, 15, 12, 8, , 1
2023/8/18, 20, 31, 14, 8, , 4
2023/8/19, 58, 10, 14, 2, , 
2023/8/20, 17, 13, 13, 2, , 4
2023/8/21, 28, 21, 13, 6, , 2
2023/8/22, 31, 12, 13, 8, , 1
2023/8/23, 30, 19, 11, 10, , 7
2023/8/24, 37, 27, 12, 10, , 5
2023/8/25, 58, 27, 13, 9, , 6
2023/8/26, 64, 33, 12, 7, , 7
2023/8/27, 74, 37, 12, 7, , 8
2023/8/28, 88, 23, 11, 6, , 4
2023/8/29, 46, 42, 12, 9, , 6
2023/8/30, 69, 20, 12, 7, , 3
2023/8/31, 36, 42, 7, 9, , 6
2023/9/1, 69, 32, 8, 10, , 7
2023/9/2, 64, 33, 8, 8, , 6
2023/9/3, 82, 27, 12, 7, , 6
2023/9/4, 72, 35, 8, 10, , 6
2023/9/5, 66, 24, 13, 6, , 6
2023/9/6, 61, 25, 12, 9, , 10
2023/9/7, 45, 23, 9, 10, , 7
2023/9/8, 51, 34, 10, 8, , 8
2023/9/9, 74, 18, 16, 3, , 6
2023/9/10, 42, 15, 16, 3, , 9
2023/9/11, 36, 23, 14, 5, , 4
2023/9/12, 45, 38, 12, 5, , 7
2023/9/13, 72, 32, 15, 6, , 6
2023/9/14, 68, 13, 14, 5, , 5
2023/9/15, 42, 16, 12, 6, , 8
